p,d,q,P,D,Q,s,AIC
0,0,12,4,1,0,12,1375.925423758716
0,0,12,2,1,0,12,1373.3656336045701
0,0,10,2,1,0,12,1446.9730982835517
0,0,10,3,1,0,12,1430.5116550954838
0,0,14,2,1,0,12,1377.4904592990874
0,0,11,3,1,0,12,1427.3484136655213
0,0,11,1,1,0,12,1511.206969623386
0,0,11,2,1,0,12,1443.1161753886217
0,0,12,1,1,0,12,1372.790187286502
0,0,12,0,1,0,12,1370.924382974263
0,0,15,0,1,0,12,1370.8057965209173
0,0,15,1,1,0,12,1373.1675718134138
0,0,6,1,1,0,12,1514.47341581714
0,0,8,1,1,0,12,1516.1508858594366
0,0,10,1,1,0,12,1516.9787272802691
0,0,13,1,1,0,12,1373.857130374262
